Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
212,I Am,,2/18/11,Paladin,Not Rated,Documentary,"$1,591,034 ",200635,"$1,583,010 "
213,A Dangerous Method,,11/23/11,Sony Pictures Classics,R,Drama,"$1,576,757 ",198834,"$1,568,800 "
214,Cafe de flore,,9/23/11,Alliance,Not Rated,Drama,"$1,574,881 ",198598,"$1,566,938 "
215,Monsieur Lazhar,,10/28/11,Music Box Films,PG-13,Drama,"$1,561,107 ",196861,"$1,553,233 "
216,Delhi Belly,,7/1/11,UTV Communications,Not Rated,Comedy,"$1,532,594 ",193265,"$1,524,861 "
217,La doppia ora,,4/15/11,Samuel Goldwyn Films,Not Rated,Thriller/Suspense,"$1,514,942 ",191039,"$1,507,298 "
218,Bill Cunningham New York,,3/16/11,Zeitgeist,Not Rated,Documentary,"$1,510,026 ",190419,"$1,502,406 "
219,Breakaway,,9/30/11,Alliance,PG-13,Comedy,"$1,481,735 ",186852,"$1,474,262 "
220,The Art of Getting By,,6/17/11,Fox Searchlight,PG-13,Comedy,"$1,430,241 ",180358,"$1,423,025 "
221,Salvando al Soldado Perez,,9/2/11,Lionsgate,PG-13,Action/Adventure,"$1,400,726 ",176636,"$1,393,658 "
222,Copie conforme,,3/11/11,IFC Films,Not Rated,Drama,"$1,373,975 ",173263,"$1,367,045 "
223,The Devil's Double,,7/29/11,Lionsgate,R,Drama,"$1,361,512 ",171691,"$1,354,642 "
224,Somewhere,,12/22/10,Focus Features,R,Drama,"$1,352,809 ",170594,"$1,345,987 "
225,2011 Oscar Shorts,,2/11/11,Shorts International,Not Rated,Other,"$1,352,152 ",170511,"$1,345,332 "
226,Snow Flower and the Secret Fan,,7/15/11,Fox Searchlight,PG-13,Drama,"$1,348,205 ",170013,"$1,341,403 "
227,"No Eres Tu, Soy Yo",,4/8/11,Lionsgate,PG-13,Comedy,"$1,339,911 ",168967,"$1,333,150 "
228,Another Earth,,7/22/11,Fox Searchlight,PG-13,Drama,"$1,321,194 ",166607,"$1,314,529 "
229,Due Date,,11/5/10,Warner Bros.,R,Comedy,"$1,307,121 ",164832,"$1,300,524 "
230,Flying Monsters 3D,,10/7/11,National Geographic Entertainment,Not Rated,Documentary,"$1,249,730 ",157595,"$1,243,425 "
231,"Beats, Rhymes & Life: The Travels of a Tribe Called Quest",,7/8/11,Sony Pictures Classics,R,Documentary,"$1,200,046 ",151330,"$1,193,994 "
232,Kill the Irishman,,3/11/11,Anchor Bay Entertainment,R,Drama,"$1,188,194 ",149835,"$1,182,198 "
233,Dylan Dog: Dead of Night,,4/29/11,Omni/Freestyle,PG-13,Horror,"$1,186,538 ",149626,"$1,180,549 "
234,Sholem Aleichem: Laughing in the Darkness,,7/8/11,International Film Circuit,Not Rated,Documentary,"$1,131,261 ",142656,"$1,125,556 "
235,The Whistleblower,,8/5/11,Samuel Goldwyn Films,R,Drama,"$1,120,914 ",141351,"$1,115,259 "
236,The Heart Specialist,,1/14/11,Freestyle Releasing,R,Comedy,"$1,103,037 ",139097,"$1,097,475 "
237,Love and Other Drugs,,11/24/10,20th Century Fox,R,Drama,"$1,099,917 ",138703,"$1,094,367 "
238,There Be Dragons,,5/6/11,Samuel Goldwyn Films,PG-13,Drama,"$1,069,334 ",134847,"$1,063,943 "
239,Page One: Inside the New York Times,,6/17/11,Magnolia Pictures,R,Documentary,"$1,067,028 ",134556,"$1,061,647 "
240,Desi Boyz,,11/25/11,Eros Entertainment,Not Rated,Comedy,"$1,066,167 ",134447,"$1,060,787 "
241,Red State,,3/5/11,Smodshow Productions,R,Horror,"$1,065,429 ",134354,"$1,060,053 "
242,Attack the Block,,7/29/11,Sony/Screen Gems,R,Action/Adventure,"$1,024,175 ",129152,"$1,019,009 "
243,Haevnen,,4/1/11,Sony Pictures Classics,R,Drama,"$1,008,098 ",127125,"$1,003,016 "
244,Rockstar,,11/11/11,Eros Entertainment,Not Rated,Drama,"$985,912 ",124327,"$980,940 "
245,Meek's Cutoff,,4/8/11,Oscilloscope Pictures,PG,Drama,"$977,772 ",123300,"$972,837 "
246,Yamla Pagla Deewana,,1/14/11,Eros Entertainment,Not Rated,Comedy,"$971,240 ",122477,"$966,344 "
247,The Beaver,,5/6/11,Summit Entertainment,PG-13,Comedy,"$970,816 ",122423,"$965,917 "
248,Redi,,6/3/11,Eros Entertainment,Not Rated,Comedy,"$934,951 ",117901,"$930,239 "
249,"I Love You, Phillip Morris",,12/3/10,Roadside Attractions,R,Comedy,"$911,157 ",114900,"$906,561 "
250,Red,,10/15/10,Summit Entertainment,PG-13,Action/Adventure,"$874,975 ",110337,"$870,559 "
251,Inside Job,,10/8/10,Sony Pictures Classics,PG-13,Documentary,"$859,817 ",108426,"$855,481 "
252,Higher Ground,,8/26/11,Sony Pictures Classics,R,Drama,"$841,056 ",106060,"$836,813 "
253,Sur le rythme,,8/10/11,Seville,Not Rated,Other,"$833,180 ",105067,"$828,979 "
254,The Lord of the Rings: The Return of the King,,12/17/03,Warner Bros.,PG-13,Action/Adventure,"$818,580 ",103226,"$814,453 "
255,Casino Jack,,12/17/10,Samuel Goldwyn Films,R,Thriller/Suspense,"$808,865 ",102001,"$804,788 "
256,Jûsan-nin no shikaku,,4/29/11,Magnolia Pictures,R,Action/Adventure,"$802,778 ",101233,"$798,728 "
257,The Lord of the Rings: The Fellowship of the Ring,,12/19/01,Warner Bros.,PG-13,Action/Adventure,"$768,580 ",96921,"$764,707 "
258,The Lord of the Rings: The Two Towers,,12/18/02,Warner Bros.,PG-13,Action/Adventure,"$764,607 ",96420,"$760,754 "
259,Le hérisson,,3/12/10,NeoClassics Films,Not Rated,Drama,"$755,668 ",95292,"$751,854 "
260,Les femmes du 6ème étage,,6/3/11,Strand,Not Rated,Comedy,"$733,294 ",92471,"$729,596 "
261,Mausam,,9/23/11,Eros Entertainment,Not Rated,Other,"$725,966 ",91547,"$722,306 "
262,The Polar Express,,11/10/04,Warner Bros.,G,Action/Adventure,"$711,168 ",89681,"$707,583 "
263,A bout portant,,7/29/11,Magnolia Pictures,R,Thriller/Suspense,"$708,215 ",89308,"$704,640 "
264,Hobo with a Shotgun,,5/6/11,Magnolia Pictures,Not Rated,Action/Adventure,"$703,372 ",88698,"$699,827 "
265,Tabloid!,,7/15/11,IFC Films,R,Documentary,"$696,921 ",87884,"$693,405 "
266,Mozart's Sister,,8/19/11,Music Box Films,Not Rated,Drama,"$684,496 ",86317,"$681,041 "
267,Terri,,7/1/11,ATO Pictures,R,Comedy,"$655,802 ",82699,"$652,495 "
268,Aarakshan,,8/12/11,Reliance Big,Not Rated,Drama,"$651,096 ",82105,"$647,808 "
269,Secretariat,,10/8/10,Walt Disney Pictures,PG,Drama,"$645,831 ",81441,"$642,569 "
270,Patiala House,,2/11/11,Tachyon,Not Rated,Drama,"$644,010 ",81212,"$640,763 "
271,POM Wonderful Presents: The Greatest Movie Ever Sold,,4/22/11,Sony Pictures Classics,PG-13,Documentary,"$638,476 ",80514,"$635,255 "
272,The Last Lions,,2/18/11,National Geographic Entertainment,PG,Documentary,"$635,325 ",80117,"$632,123 "
273,Made in Dagenham,,11/19/10,Sony Pictures Classics,R,Drama,"$602,990 ",76039,"$599,948 "
274,Dhobi Ghat,,1/21/11,UTV Communications,Not Rated,Drama,"$577,485 ",72823,"$574,573 "
275,The Future,,7/29/11,Roadside Attractions,R,Drama,"$568,662 ",71710,"$565,792 "
276,Dum Maaro Dum,,4/22/11,Fox Searchlight,R,Drama,"$564,489 ",71184,"$561,642 "
277,Even the Rain,,2/18/11,Vitagraph Films,Not Rated,Other,"$558,132 ",70382,"$555,314 "
278,Double Dhamaal,,6/24/11,Reliance Big,Not Rated,Comedy,"$543,646 ",68556,"$540,907 "
279,Winter in Wartime,,3/18/11,Sony Pictures Classics,R,Drama,"$542,860 ",68456,"$540,118 "
280,Crime d'amour,,9/2/11,IFC Films,Not Rated,Thriller/Suspense,"$539,792 ",68070,"$537,072 "
281,Machine Gun Preacher,,9/23/11,Relativity,R,Drama,"$538,690 ",67931,"$535,976 "
282,Deep Sea 3-D,,3/3/06,Warner Bros.,G,Documentary,"$524,144 ",66096,"$521,497 "
283,Le nom des gens,,6/24/11,Music Box Films,R,Comedy,"$514,237 ",64847,"$511,643 "
284,Bride Flight,,6/10/11,Music Box Films,R,Drama,"$501,360 ",63223,"$498,829 "
285,Mere Brother Ki Dulhan,,9/9/11,Yash Raj Films,Not Rated,Comedy,"$496,172 ",62569,"$493,669 "
286,Life as We Know It,,10/8/10,Warner Bros.,PG-13,Comedy,"$488,173 ",61560,"$485,708 "
287,Weekend,,9/23/11,IFC Films,Not Rated,Drama,"$484,592 ",61109,"$482,150 "
288,Joueuse,,4/1/11,Zeitgeist,Not Rated,Comedy,"$478,710 ",60367,"$476,296 "
289,Detective Dee and the Mystery of the Phantom Flame,,9/2/11,Indomina Releasing,PG-13,Thriller/Suspense,"$474,754 ",59868,"$472,359 "
290,Pearl Jam Twenty,,9/20/11,Arts Alliance America,Not Rated,Documentary,"$471,334 ",59437,"$468,958 "
291,Submarine,,6/3/11,Weinstein Co.,R,Comedy,"$467,602 ",58966,"$465,242 "
292,Jihne Mera Dil Luteya,,7/29/11,Viva Entertainment,Not Rated,Comedy,"$464,840 ",58618,"$462,496 "
293,Thank You,,4/8/11,UTV Communications,Not Rated,Comedy,"$463,540 ",58454,"$461,202 "
294,Circumstance,,8/26/11,Roadside Attractions,R,Drama,"$454,121 ",57266,"$451,829 "
295,No One Killed Jessica,,1/7/11,UTV Communications,Not Rated,Drama,"$442,036 ",55742,"$439,804 "
296,Frisson des Collines,,4/15/11,,Not Rated,Drama,"$434,589 ",54803,"$432,396 "
297,Poema de Salvacion,,10/15/10,CanZion Films,PG-13,Other,"$422,032 ",53220,"$419,906 "
298,Fair*Game,,11/5/10,Summit Entertainment,PG-13,Drama,"$421,935 ",53207,"$419,803 "
299,Project Nim,,7/8/11,Roadside Attractions,PG-13,Documentary,"$411,184 ",51852,"$409,112 "
300,The 5th Quarter,,3/25/11,Rocky Mountain Pictures,PG,Drama,"$408,159 ",51470,"$406,098 "
301,Turtle: The Incredible Journey,,6/24/11,Hannover House,G,Documentary,"$391,942 ",49425,"$389,963 "
302,Faster (2009),,11/24/10,CBS Films,R,Action/Adventure,"$383,150 ",48317,"$381,221 "
303,Hesher,,5/13/11,Wrekin Hill Entertainment,R,Drama,"$382,946 ",48291,"$381,016 "
304,Miral,,3/25/11,Weinstein Co.,PG-13,Drama,"$377,014 ",47543,"$375,114 "
305,MOOZ-lum,,2/11/11,"Peace Film, LLC",PG-13,Drama,"$362,239 ",45680,"$360,415 "
306,Le Havre,,10/21/11,Janus Films,Not Rated,Drama,"$358,706 ",45234,"$356,896 "
307,Shi,,2/11/11,Kino International,Not Rated,Drama,"$356,149 ",44912,"$354,356 "
308,La princesse de Montpensier,,4/15/11,IFC Films,Not Rated,Drama,"$352,428 ",44442,"$350,647 "
309,Extremely Loud and Incredibly Close,,12/25/11,Warner Bros.,PG-13,Drama,"$352,417 ",44441,"$350,639 "
310,Singham,,7/22/11,Reliance Big,Not Rated,Drama,"$350,864 ",44245,"$349,093 "
311,Carnage,,12/16/11,Sony Pictures Classics,R,Drama,"$348,605 ",43960,"$346,844 "
312,Arthur et la vengeance de Maltazard,,2/25/11,Alliance,PG,Action/Adventure,"$347,136 ",43775,"$345,385 "
313,The First Grader,,5/13/11,National Geographic Entertainment,PG-13,Drama,"$332,306 ",41905,"$330,630 "
314,Super,,4/1/11,IFC Films,PG-13,Comedy,"$327,716 ",41326,"$326,062 "
315,Creature,,9/9/11,The Bubble Factory,R,Horror,"$327,000 ",41236,"$325,352 "
316,Bbuddah: Hoga Tera Baap,,7/1/11,,Not Rated,Other,"$326,011 ",41111,"$324,366 "
317,Dharti,,4/22/11,Viva Entertainment,Not Rated,Drama,"$317,505 ",40038,"$315,900 "
318,L'Amour Fou,,5/13/11,IFC Films,Not Rated,Documentary,"$312,494 ",39407,"$310,921 "
319,Despicable Me,,7/9/10,Universal,PG,Comedy,"$310,760 ",39188,"$309,193 "
320,Winter's Bone,,6/11/10,Roadside Attractions,R,Drama,"$285,995 ",36065,"$284,553 "
321,The Black Power Mixtape: 1967-1975,,9/9/11,IFC Films,Not Rated,Documentary,"$273,749 ",34521,"$272,371 "
322,Saat Khoon Maaf,,2/18/11,UTV Communications,Not Rated,Other,"$273,083 ",34437,"$271,708 "
323,The Concert,,7/23/10,Weinstein Co.,PG-13,Drama,"$268,023 ",33799,"$266,674 "
324,Conan O'Brien Can't Stop,,6/24/11,Abramorama Films,R,Documentary,"$267,965 ",33791,"$266,611 "
325,Munger Road,,9/30/11,Freestyle Releasing,PG-13,Thriller/Suspense,"$266,688 ",33630,"$265,341 "
326,The Mill and  the Cross,,9/14/11,Kino Lorber,Not Rated,Drama,"$264,873 ",33401,"$263,534 "
327,Phil Ochs,,1/5/11,First Run Features,Not Rated,Documentary,"$263,723 ",33256,"$262,390 "
328,Sea Monsters: A Prehistoric Adventure,,10/5/07,National Geographic Entertainment,Not Rated,Documentary,"$262,465 ",33098,"$261,143 "
329,Rascals,,10/7/11,Eros Entertainment,Not Rated,Other,"$261,156 ",32933,"$259,841 "
330,The Music Never Stopped,,3/18/11,Roadside Attractions,PG,Drama,"$258,538 ",32603,"$257,238 "
331,All Good Things,,12/3/10,Magnolia Pictures,R,Drama,"$258,373 ",32582,"$257,072 "
332,PASSIONE: A Musical Adventure,,6/22/11,Abramorama Films,Not Rated,Documentary,"$258,222 ",32563,"$256,922 "
333,Trolljegeren,,6/10/11,Magnet Pictures,PG,Horror,"$253,444 ",31960,"$252,164 "
334,Life in a Day,,7/29/11,National Geographic Entertainment,PG,Documentary,"$252,788 ",31877,"$251,510 "
335,Morning Glory,,11/10/10,Paramount Pictures,PG-13,Comedy,"$251,756 ",31747,"$250,484 "
336,My Perestroika,,3/23/11,International Film Circuit,Not Rated,Documentary,"$242,706 ",30606,"$241,481 "
337,Tanu Weds Manu,,2/25/11,Viva Entertainment,Not Rated,Comedy,"$240,020 ",30267,"$238,807 "
338,The Interrupters,,7/29/11,Cinema Guild,Not Rated,Documentary,"$236,957 ",29881,"$235,761 "
339,Being Elmo: A Puppeteer's Journey,,10/21/11,Submarine Deluxe,PG,Documentary,"$236,939 ",29879,"$235,745 "
340,Serge Gainsbourg vie heroique,,8/31/11,Music Box Films,Not Rated,Drama,"$230,767 ",29101,"$229,607 "
341,Brighton Rock,,8/26/11,IFC Films,Not Rated,Drama,"$229,653 ",28960,"$228,494 "
342,Pina,,12/23/11,IFC Films,PG,Documentary,"$228,992 ",28877,"$227,840 "
343,Tucker & Dale vs. Evil,,9/30/11,Magnet Pictures,R,Comedy,"$223,838 ",28227,"$222,711 "
344,Into the Abyss,,11/11/11,IFC Films,PG-13,Documentary,"$223,340 ",28164,"$222,214 "
345,The Iron Lady,,12/30/11,Weinstein Co.,PG-13,Drama,"$220,409 ",27794,"$219,295 "
346,Happythankyoumoreplease,,3/4/11,Anchor Bay Entertainment,R,Comedy,"$216,110 ",27252,"$215,018 "
347,The Afflicted,,10/21/11,Nocturnal Features,Not Rated,Horror,"$212,940 ",26852,"$211,862 "
348,Ip Man: Legend of the Grand Master,,1/28/11,Variance Films,R,Action/Adventure,"$205,675 ",25936,"$204,635 "
349,The Wildest Dream,,8/6/10,National Geographic Entertainment,PG,Documentary,"$203,839 ",25705,"$202,812 "
350,Queen of the Sun,,9/17/10,Collective Eye,Not Rated,Documentary,"$203,100 ",25612,"$202,079 "
351,"Filth to Ashes, Flesh to Dust",,9/30/11,Nocturnal Features,Not Rated,Horror,"$196,147 ",24735,"$195,159 "
352,El Bulli: Cooking in Progress,,7/27/11,Alive Mind,Not Rated,Documentary,"$196,127 ",24732,"$195,135 "
353,Blackthorn,,10/7/11,Magnolia Pictures,R,Action/Adventure,"$186,660 ",23538,"$185,715 "
354,Bol,,8/31/11,Eros Entertainment,Not Rated,Drama,"$186,410 ",23507,"$185,470 "
355,Loong Boonmee raleuk chat,,3/4/11,Strand,Not Rated,Drama,"$184,292 ",23240,"$183,364 "
356,JIG,,6/17/11,Screen Media Films,PG,Documentary,"$183,790 ",23177,"$182,867 "
357,Rien a declarer,,8/26/11,Entertainment One,Not Rated,Comedy,"$182,295 ",22988,"$181,375 "
358,Amigo,,8/19/11,Variance Films,R,Drama,"$180,582 ",22772,"$179,671 "
359,Go For It!,,5/13/11,Pantelion Films,PG-13,Drama,"$180,237 ",22728,"$179,324 "
360,American: The Bill Hicks Story,,4/8/11,Variance Films,Not Rated,Documentary,"$174,796 ",22042,"$173,911 "
361,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",,9/23/11,First Run Features,Not Rated,Documentary,"$170,888 ",21550,"$170,030 "
362,Bellflower,,8/5/11,Oscilloscope Pictures,R,Action/Adventure,"$168,226 ",21214,"$167,378 "
363,The Greatest Miracle,,10/14/11,,PG,Other,"$166,573 ",21005,"$165,729 "
364,The Last Godfather,,4/1/11,Roadside Attractions,PG-13,Comedy,"$164,247 ",20712,"$163,418 "
365,Restless,,9/16/11,Sony Pictures Classics,PG-13,Drama,"$163,141 ",20573,"$162,321 "
366,La Bonheur des autres,,10/7/11,Entertainment One,Not Rated,Comedy,"$162,303 ",20467,"$161,485 "
367,Pastorela,,12/2/11,Pantelion Films,R,Other,"$161,194 ",20327,"$160,380 "
368,Hanyo,,1/21/11,IFC Films,Not Rated,Thriller/Suspense,"$157,961 ",19919,"$157,161 "
369,A Good Old Fashioned Orgy,,9/2/11,Samuel Goldwyn Films,R,Comedy,"$154,604 ",19496,"$153,823 "
370,Luftslottet som sprängdes,,4/30/10,Music Box Films,R,Thriller/Suspense,"$154,599 ",19495,"$153,816 "
371,Magic Trip,,8/5/11,Magnolia Pictures,R,Documentary,"$154,521 ",19486,"$153,745 "
372,Decisions,,5/13/11,Self Distributed,R,Drama,"$153,280 ",19329,"$152,506 "
373,Le quattro volte,,3/30/11,Lorber Films,Not Rated,Drama,"$152,530 ",19235,"$151,764 "
374,3D Sex and Zen: Extreme Ecstasy,,8/12/11,China Lion Film Distribution,Not Rated,Comedy,"$152,365 ",19214,"$151,598 "
375,October Baby,,11/4/11,Five & Two Pictures,PG-13,Drama,"$151,952 ",19162,"$151,188 "
376,Jiàn D?ng W?i Yè,,6/24/11,China Lion Film Distribution,Not Rated,Drama,"$151,305 ",19080,"$150,541 "
377,Revenge of the Electric Car,,10/21/11,Area23a,PG-13,Documentary,"$150,886 ",19027,"$150,123 "
378,Gun Hill Road,,8/5/11,Motion Film Group,R,Drama,"$148,994 ",18789,"$148,245 "
379,Thunder Soul,,9/23/11,Roadside Attractions,PG,Documentary,"$143,986 ",18157,"$143,259 "
380,Nostalgia de la luz,,3/18/11,Icarus Films,Not Rated,Documentary,"$142,285 ",17943,"$141,570 "
381,Human Centipede 2: Full Sequence,,10/7/11,IFC Films,Not Rated,Horror,"$141,877 ",17891,"$141,160 "
382,Eames: The Architect and the Painter,,11/18/11,First Run Features,Not Rated,Documentary,"$139,813 ",17631,"$139,109 "
383,Dil Toh Baccha Hai Ji,,1/28/11,Viva Entertainment,Not Rated,Comedy,"$139,770 ",17625,"$139,061 "
384,Cold Weather,,2/4/11,IFC Films,Not Rated,Thriller/Suspense,"$138,755 ",17497,"$138,051 "
385,Labios Rojos,,10/14/11,,R,Other,"$136,163 ",17171,"$135,479 "
386,Xinhai geming,,10/7/11,Variance Films,R,Drama,"$135,739 ",17117,"$135,053 "
387,"Life, Above All",,7/15/11,Sony Pictures Classics,PG-13,Drama,"$134,078 ",16908,"$133,404 "
388,Game,,4/1/11,Eros Entertainment,Not Rated,Action/Adventure,"$132,035 ",16650,"$131,369 "
389,Akmareul Boatda,,3/4/11,Magnet Pictures,Not Rated,Thriller/Suspense,"$129,210 ",16294,"$128,560 "
390,Legend of the Guardians: The Owls of Ga'Hoole 3D,,9/24/10,Warner Bros.,PG,Action/Adventure,"$125,490 ",15825,"$124,859 "
391,The Bang Bang Club,,5/6/11,TriBeca Films,R,Drama,"$124,791 ",15737,"$124,165 "
392,Wo Zhi Nv Ren Xin,,2/4/11,China Lion Film Distribution,Not Rated,Comedy,"$123,527 ",15577,"$122,903 "
393,The Last Mountain,,6/3/11,Dada Films,PG,Documentary,"$122,959 ",15506,"$122,342 "
394,Nanjing! Nanjing!,,5/11/11,Kino International,R,Drama,"$122,558 ",15455,"$121,940 "
395,Jackass 3D,,10/15/10,Paramount Pictures,R,Comedy,"$120,275 ",15167,"$119,668 "
396,Trust,,4/1/11,Millenium Films,R,Drama,"$120,016 ",15134,"$119,407 "
397,Kaboom,,1/28/11,IFC Films,Not Rated,Comedy,"$118,919 ",14996,"$118,318 "
398,Inni,,9/27/11,Cinema Purgatorio,Not Rated,Other,"$117,691 ",14841,"$117,095 "
399,Blank City,,4/6/11,Insurgent Media,Not Rated,Documentary,"$116,037 ",14633,"$115,454 "
400,Vision,,10/13/10,Zeitgeist,Not Rated,Drama,"$115,591 ",14576,"$115,005 "
401,35 and Ticking,,5/20/11,Image Entertainment,R,Comedy,"$113,804 ",14351,"$113,229 "
402,Last Night,,5/6/11,TriBeca Films,R,Drama,"$112,087 ",14135,"$111,525 "
403,Mysteries of Lisbon,,8/5/11,Music Box Films,Not Rated,Thriller/Suspense,"$110,507 ",13935,"$109,947 "
404,Tiny Furniture,,11/12/10,IFC Films,Not Rated,Comedy,"$104,967 ",13237,"$104,440 "
405,Henry's Crime,,4/8/11,Motion Pictures Film and Television,R,Comedy,"$102,541 ",12931,"$102,026 "
406,Pariah,,12/28/11,Focus Features,R,Drama,"$101,755 ",12832,"$101,244 "
407,Young Goethe in Love,,11/4/11,Music Box Films,Not Rated,Drama,"$101,237 ",12766,"$100,724 "
408,Rubber,,4/1/11,Magnet Pictures,R,Other,"$100,370 ",12657,"$99,864 "
409,Rejoice and Shout,,6/3/11,Magnolia Pictures,PG,Documentary,"$100,237 ",12640,"$99,730 "
410,The Undefeated,,7/15/11,Cinedigm,PG-13,Documentary,"$100,085 ",12621,"$99,580 "
411,The Double,,10/28/11,Image Entertainment,PG-13,Thriller/Suspense,"$99,612 ",12561,"$99,106 "
412,The Warrior's Way,,12/3/10,Relativity,R,Action/Adventure,"$97,039 ",12237,"$96,550 "
413,A Little Help,,7/22/11,Freestyle Releasing,R,Comedy,"$96,868 ",12215,"$96,376 "
414,Tomboy,,11/18/11,Rocket Releasing,Not Rated,Drama,"$96,159 ",12126,"$95,674 "
415,My Dog Tulip,,9/1/10,New Yorker,Not Rated,Drama,"$95,316 ",12020,"$94,838 "
416,Paranormal Activity 2,,10/22/10,Paramount Pictures,R,Horror,"$92,259 ",11634,"$91,792 "
417,Evil Bong 3 The Wrath Of Bong!,,4/9/11,Full Moon Features,R,Comedy,"$91,260 ",11508,"$90,798 "
418,Exporting Raymond,,4/29/11,Samuel Goldwyn Films,PG,Documentary,"$87,727 ",11063,"$87,287 "
419,Vidal Sassoon: The Movie,,2/11/11,Phase 4 Films,PG,Documentary,"$85,974 ",10842,"$85,543 "
420,Carancho,,2/11/11,Strand,Not Rated,Drama,"$85,526 ",10785,"$85,094 "
421,Tropa de Elite 2: O Inimigo Agora É Outro,,11/11/11,Variance Films,Not Rated,Action/Adventure,"$85,503 ",10782,"$85,070 "
422,Waste Land,,10/29/10,Arthouse Films,Not Rated,Documentary,"$85,262 ",10752,"$84,833 "
423,Der Räuber,,2/3/11,Kino International,Not Rated,Drama,"$83,259 ",10499,"$82,837 "
424,Oy Vey! My Son is Gay!,,12/24/10,,PG-13,Other,"$81,929 ",10332,"$81,519 "
425,Inkubus,,10/28/11,Screen Media Films,R,Horror,"$81,600 ",10290,"$81,188 "
426,Su Qi Er,,5/13/11,Indomina Releasing,R,Action/Adventure,"$80,096 ",10100,"$79,689 "
427,Circo,,4/1/11,First Run Features,Not Rated,Documentary,"$77,466 ",9769,"$77,077 "
428,Beautiful Boy,,6/3/11,Anchor Bay Entertainment,R,Drama,"$77,247 ",9741,"$76,856 "
429,Chalo Dilli,,4/29/11,Eros Entertainment,Not Rated,Other,"$72,486 ",9141,"$72,122 "
430,Kings of Pastry,,9/15/10,First Run Features,Not Rated,Documentary,"$71,904 ",9067,"$71,539 "
431,Evidence of a Haunting,,8/26/11,Nocturnal Features,Not Rated,Horror,"$71,834 ",9059,"$71,476 "
432,The Tree,,7/15/11,Zeitgeist,Not Rated,Drama,"$71,158 ",8973,"$70,797 "
433,Hausu,,1/15/10,Janus Films,Not Rated,Other,"$69,650 ",8783,"$69,298 "
434,Zhan Guo,,4/22/11,China Lion Film Distribution,Not Rated,Other,"$68,961 ",8696,"$68,611 "
435,Les amours imaginaires,,6/11/10,IFC Films,Not Rated,Drama,"$68,723 ",8666,"$68,375 "
436,Four Lions,,11/5/10,Drafthouse Films,R,Comedy,"$67,871 ",8559,"$67,531 "
437,Puncture,,9/23/11,Millenium Films,R,Drama,"$67,071 ",8458,"$66,734 "
438,Mei Li Ren Sheng,,5/20/11,China Lion Film Distribution,Not Rated,Drama,"$66,171 ",8344,"$65,834 "
439,Shaolin,,9/9/11,Variance Films,R,Action/Adventure,"$66,099 ",8335,"$65,763 "
440,Snowmen,,10/21/11,ARC Entertainment,PG,Drama,"$66,000 ",8323,"$65,668 "
441,Get Low,,7/30/10,Sony Pictures Classics,PG-13,Other,"$65,445 ",8253,"$65,116 "
442,Bhutto,,12/3/10,First Run Features,Not Rated,Documentary,"$65,239 ",8227,"$64,911 "
443,Co Dau Dai Chien,,5/6/11,Variance Films,Not Rated,Other,"$64,572 ",8143,"$64,248 "
444,The Human Resources Manager,,3/4/11,Film Movement,Not Rated,Drama,"$64,014 ",8072,"$63,688 "
445,Sama Wozu,,12/24/10,GKIDS,PG-13,Action/Adventure,"$62,559 ",7889,"$62,244 "
446,Gekijouban Trigun: Badlands Rumble,,7/8/11,Eleven Arts,Not Rated,Action/Adventure,"$62,027 ",7822,"$61,716 "
447,Queen of the Lot,,11/19/10,Rainbow Releasing,R,Drama,"$61,908 ",7807,"$61,597 "
448,If A Tree Falls: The Story of the Earth Liberation Front,,6/22/11,Oscilloscope Pictures,Not Rated,Drama,"$61,794 ",7792,"$61,479 "
449,Viva Riva!,,6/10/11,Music Box Films,R,Thriller/Suspense,"$61,759 ",7788,"$61,447 "
450,Une vie qui commence,,1/21/11,Alliance Vivafilm,Not Rated,Drama,"$61,337 ",7735,"$61,029 "
451,The Whale,,9/9/11,Paladin,G,Documentary,"$61,120 ",7707,"$60,808 "
452,How to Live Forever,,5/13/11,Variance Films,Not Rated,Documentary,"$60,630 ",7646,"$60,327 "
453,Limelight,,9/23/11,Magnolia Pictures,Not Rated,Documentary,"$60,335 ",7608,"$60,027 "
454,Crime after Crime,,7/1/11,Life Sentence Films m Tuckman Media,Not Rated,Documentary,"$60,291 ",7603,"$59,988 "
455,3,,9/16/11,Strand,Not Rated,Drama,"$59,774 ",7538,"$59,475 "
456,Jodaeiye Nader az Simin,,12/30/11,Sony Pictures Classics,PG-13,Drama,"$59,481 ",7501,"$59,183 "
457,White Material,,11/19/10,IFC Films,Not Rated,Drama,"$57,692 ",7275,"$57,400 "
458,Finding Joe,,9/30/11,Balcony Releasing,Not Rated,Documentary,"$55,518 ",7001,"$55,238 "
459,Into Eternity,,2/2/11,International Film Circuit,Not Rated,Documentary,"$55,366 ",6982,"$55,088 "
460,The Other F Word,,11/4/11,Oscilloscope Pictures,Not Rated,Documentary,"$53,714 ",6774,"$53,447 "
461,Dirty Girl,,10/7/11,Weinstein Co.,R,Drama,"$53,630 ",6763,"$53,360 "
462,In The Land of Blood and Honey,,12/23/11,FilmDistrict,R,Drama,"$53,356 ",6728,"$53,084 "
