Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
48,No Strings Attached,,1/21/11,Paramount Pictures,R,Comedy,"$70,662,220 ",8910747,"$70,305,794 ",110 min
49,Mr. Poppers's Penguins,,6/17/11,20th Century Fox,PG,Action/Adventure,"$68,224,452 ",8603336,"$67,880,321 ",95 min
50,Unknown,,2/18/11,Warner Bros.,PG-13,Thriller/Suspense,"$63,686,397 ",8031072,"$63,365,158 ",109 min
51,The Adjustment Bureau,,3/4/11,Universal,PG-13,Thriller/Suspense,"$62,495,645 ",7880914,"$62,180,411 ",99 min
52,Happy Feet Two,,11/18/11,Warner Bros.,PG,Action/Adventure,"$60,965,866 ",7688003,"$60,658,344 ",105 min
53,The Girl with the Dragon Tattoo,,12/21/11,Sony Pictures,R,Thriller/Suspense,"$59,950,953 ",7560019,"$59,648,550 ",160 min
54,Black Swan,,12/3/10,Fox Searchlight,R,Thriller/Suspense,"$59,146,887 ",7458624,"$58,848,543 ",108 min
55,Water for Elephants,,4/22/11,20th Century Fox,PG-13,Drama,"$58,709,717 ",7403495,"$58,413,576 ",120 min
56,The Lincoln Lawyer,,3/18/11,Lionsgate,R,Thriller/Suspense,"$58,009,200 ",7315158,"$57,716,597 ",119 min
57,Midnight in Paris,,5/20/11,Sony Pictures Classics,PG-13,Comedy,"$56,377,732 ",7109424,"$56,093,355 ",88 min
58,Friends with Benefits,,7/22/11,Sony Pictures,R,Comedy,"$55,802,754 ",7036917,"$55,521,275 ",120 min
59,I am Number Four,,2/18/11,Walt Disney Pictures,PG-13,Action/Adventure,"$55,100,437 ",6948353,"$54,822,505 ",104 min
60,Source Code,,4/1/11,Summit Entertainment,PG-13,Thriller/Suspense,"$54,712,227 ",6899398,"$54,436,250 ",94 min
61,Insidious,,4/1/11,FilmDistrict,R,Horror,"$54,009,150 ",6810738,"$53,736,723 ",98 min
62,Madea's Big Happy Family,,4/22/11,Lionsgate,PG-13,Drama,"$53,345,287 ",6727022,"$53,076,204 ",105 min
63,Diary of a Wimpy Kid: Rodrick Rules,,3/25/11,20th Century Fox,PG,Comedy,"$52,698,535 ",6645465,"$52,432,719 ",96 min
64,Footloose,,10/14/11,Paramount Pictures,PG-13,Other,"$51,670,512 ",6515827,"$51,409,875 ",113 min
65,The Adventures of Tintin,,12/21/11,Paramount Pictures,PG,Action/Adventure,"$51,400,450 ",6481772,"$51,141,181 ",101 min
66,Hugo,,11/23/11,Paramount Pictures,Not Rated,Action/Adventure,"$50,313,495 ",6344703,"$50,059,707 ",127 min
67,The Dilemma,,1/14/11,Universal,PG-13,Comedy,"$48,475,290 ",6112899,"$48,230,773 ",118 min
68,New Year's Eve,,12/9/11,Warner Bros.,PG-13,Comedy,"$47,257,823 ",5959372,"$47,019,445 ",117 min
69,The Fighter,,12/10/10,Paramount Pictures,R,Drama,"$47,228,156 ",5955631,"$46,989,929 ",115 min
70,Arthur Christmas,,11/23/11,Sony Pictures,PG,Action/Adventure,"$46,073,163 ",5809983,"$45,840,766 ",97 min
71,Little Fockers,,12/22/10,Universal,PG-13,Comedy,"$45,862,410 ",5783406,"$45,631,073 ",98 min
72,Hall Pass,,2/25/11,Warner Bros.,R,Comedy,"$45,060,734 ",5682312,"$44,833,442 ",98 min
73,We Bought a Zoo,,12/23/11,20th Century Fox,PG,Drama,"$44,490,999 ",5610466,"$44,266,577 ",124 min
74,War Horse,,12/25/11,Walt Disney Pictures,PG-13,Drama,"$44,089,786 ",5559872,"$43,867,390 ",146 min
75,Soul Surfer,,4/8/11,Sony Pictures,PG,Drama,"$43,853,424 ",5530066,"$43,632,221 ",105 min
76,Final Destination 5,,8/12/11,Warner Bros.,R,Horror,"$42,587,643 ",5370447,"$42,372,827 ",95 min
77,The Ides of March,,10/7/11,Sony Pictures,R,Drama,"$40,850,788 ",5151423,"$40,644,727 ",102 min
